id,familia,hueco,acierto,respuesta_correcta,cita,cifra,trayectoria,estado_trayectoria,alucinacion_sobre_hueco,herramientas,llamadas,latencia_s,coste_usd,tokens,guardarrail,fuente,cifra_dada,respuesta,motivo_cita,motivo_cifra,motivo_trayectoria,error
g-r-011,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,list_available > search_filings,2,11.63,0.0124545,12762,0,texto,,"En su informe 10-K de 2025, Alphabet indica que la Orden Ejecutiva de la Casa Blanca, titulada «Removing Barriers to American Leadership in Artificial Intelligence», prioriza la desregulación, mientras que su Plan de Acción sobre IA hace hincapié en acelerar el liderazgo estadounidense en innovación.","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
g-r-012,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,list_available > search_filings,2,30.02,0.01264575,12225,0,texto,,"En su apartado de riesgo de mercado (Item 7A) del ejercicio 2025, Alphabet consideró razonablemente posible experimentar variaciones adversas del 10% en los tipos de cambio, basándose en las tendencias históricas.","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
g-r-013,numerica,False,True,True,no_aplica,acierto,acierto,camino_correcto,False,get_xbrl_fact,1,6.64,0.00612825,6103,0,xbrl,2.94,"El beneficio diluido por acción de NVIDIA en su ejercicio fiscal 2025 fue de 2,94 USD por acción.",ni la pregunta trae ancla ni la respuesta cita,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)",pasó por get_xbrl_fact,
g-r-014,numerica,False,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,10.92,0.008763,9584,0,xbrl,59248000000.0,El beneficio neto de Amazon en el ejercicio fiscal 2024 fue de 59.248.000.000 USD.,ni la pregunta trae ancla ni la respuesta cita,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)",pasó por get_xbrl_fact,
g-r-015,numerica,False,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,8.78,0.00874875,9513,0,xbrl,350018000000.0,Los ingresos de Alphabet Inc. en el ejercicio fiscal 2024 fueron de 350.018.000.000 USD.,ni la pregunta trae ancla ni la respuesta cita,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)",pasó por get_xbrl_fact,
g-r-016,numerica,True,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,17.26,0.01003875,9945,0,ninguna,,"Amazon no reporta de forma individualizada el concepto de gastos en investigación y desarrollo ('ResearchAndDevelopmentExpense') en US-GAAP para el ejercicio fiscal 2025, por lo que el dato no está disponible en el corpus.",ni la pregunta trae ancla ni la respuesta cita,declaró que el dato no está en el corpus,pasó por get_xbrl_fact,
g-r-017,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,29.52,0.0182655,17210,0,ambas,193893000000.0,"El beneficio bruto (Gross Profit) de Microsoft aumentó en 22.885.000.000 USD (+13,38%), pasando de 171.008.000.000 USD en FY2024 a 193.893.000.000 USD en FY2025. En cuanto al porcentaje de margen bruto, la dirección señala que disminuyó ligeramente debido al segmento Intelligent Cloud, compensado en parte por More Personal Computing, y añade que el margen bruto de Microsoft Cloud cayó al 69% por el escalado de su infraestructura de IA, contrarrestado en parte por ganancias de eficiencia en Azure.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
g-r-018,comparativa,False,False,False,fallo,acierto,acierto,camino_correcto,False,get_xbrl_fact > get_xbrl_fact > search_filings,3,35.52,0.0224265,20598,1,ambas,97858000000.0,"En el ejercicio fiscal 2025, el beneficio bruto de NVIDIA alcanzó los 97.858.000.000 USD, frente a los 44.301.000.000 USD reportados en el ejercicio fiscal 2024, lo que supone un crecimiento de 53.557.000.000 USD (+120,89%). La dirección atribuye la mejora del margen bruto (que aumentó del 72,7% al 75,0%) principalmente a una mayor proporción en la mezcla de ingresos provenientes del segmento Data Center.",no_respalda_ancla: la cita no está a menos de 600 caracteres del ancla,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
g-r-019,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,38.08,0.03588225,29419,1,ambas,416161000000.0,"Los ingresos de Apple en el FY2025 alcanzaron 416.161.000.000 USD frente a los 391.035.000.000 USD del FY2024, lo que supone un crecimiento de 25.126.000.000 USD (un 6,43%). Por su parte, las ventas netas en la Gran China disminuyeron principalmente debido a menores ventas de iPhone, compensadas parcialmente por mayores ventas de Mac.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
g-r-020,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,35.36,0.03033075,27937,1,ambas,129039000000.0,"El beneficio operativo total de Alphabet (OperatingIncomeLoss) alcanzó los 129.039.000.000 USD en el ejercicio 2025 frente a los 112.390.000.000 USD de 2024, lo que representa un crecimiento de 16.649.000.000 USD (un 14,81%). Por su parte, el aumento del beneficio operativo de Google Cloud se debió principalmente a un incremento en los ingresos, parcialmente compensado por aumentos en los costes de uso de infraestructura técnica y gastos de compensación a empleados.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
